ds_name,alg_name,n_clusters,v_measure_score,adjusted_rand_score,AMI_score,fit_time
wine-quality,GM,2,0.010281790351775896,-0.0015558545687557287,0.009403680347627723,0.011337995529174805
wine-quality,GM,3,0.033960053699198224,0.011098412006424687,0.035168921091804264,0.06576395034790039
wine-quality,GM,4,0.0689113826307799,0.046903849514416236,0.08637244805434073,0.08151769638061523
wine-quality,GM,5,0.06655544181845477,0.0459952208514552,0.08719857079835824,0.10174894332885742
wine-quality,GM,6,0.045105949810140926,0.02647141523074431,0.0652775248534398,0.24675679206848145
wine-quality,GM,7,0.05803172347093591,0.03288770670498122,0.08975704223309991,0.2001028060913086
wine-quality,GM,8,0.06032003098985539,0.032218453086633236,0.09596570956460294,0.19343280792236328
wine-quality,GM,9,0.061096277500155824,0.030275658934277062,0.09993740193452534,0.21053504943847656
wine-quality,GM,10,0.07067674116956911,0.034362289893605735,0.11852294215800344,0.32481884956359863
wine-quality,GM,11,0.07034366431339206,0.028808531051810637,0.1224064713921688,0.5486249923706055
wine-quality,GM,12,0.06732003751374567,0.026877130245248095,0.12041863791925429,0.48772096633911133
wine-quality,GM,13,0.0661459201481461,0.022898484042208157,0.11873262353175656,0.932697057723999
wine-quality,GM,14,0.06990573694656788,0.023230403747180613,0.12833751416509798,0.528203010559082
