algname,gamma,threshold,num_states,Iteration,V_average,V_sum,delta,variation,V_max_diff,# chg actions,clock_time
vi-forest,0.8,0.00024999999999999995,10,1,1.2,12.0,12.0,4.0,4.0,0,8.869171142578125e-05
vi-forest,0.8,0.00024999999999999995,10,2,1.7480000000000004,17.480000000000004,5.480000000000004,2.880000000000001,2.880000000000001,1,0.0001347064971923828
vi-forest,0.8,0.00024999999999999995,10,3,2.6387200000000006,26.387200000000007,8.907200000000003,2.0736000000000017,2.1312000000000015,2,0.00017762184143066406
vi-forest,0.8,0.00024999999999999995,10,4,3.1700224000000006,31.700224000000006,5.313023999999999,1.492992,1.539072,2,0.0002186298370361328
vi-forest,0.8,0.00024999999999999995,10,5,3.798556416000001,37.98556416000001,6.285340160000004,1.0749542400000012,1.141678080000001,3,0.00025963783264160156
vi-forest,0.8,0.00024999999999999995,10,6,4.187049758720001,41.870497587200006,3.8849334271999965,0.773967052800002,0.8273461248000018,4,0.0002994537353515625
vi-forest,0.8,0.00024999999999999995,10,7,4.579586124185601,45.79586124185601,3.925363654656003,0.5572562780160009,0.6154388766720009,4,0.0003445148468017578
vi-forest,0.8,0.00024999999999999995,10,8,4.836775076200449,48.36775076200449,2.5718895201484813,0.40122452017152055,0.4477705990963208,4,0.00038552284240722656
vi-forest,0.8,0.00024999999999999995,10,9,5.05763106869543,50.5763106869543,2.2085599249498102,0.28888165452349424,0.3341430080667651,5,0.00042557716369628906
vi-forest,0.8,0.00024999999999999995,10,10,5.223836896065619,52.238368960656196,1.662058273701895,0.20799479125691667,0.2442038740915331,5,0.0004668235778808594
vi-forest,0.8,0.00024999999999999995,10,11,5.358049526709311,53.58049526709311,1.342126306436917,0.14975624970498091,0.18288341179781176,5,0.0005097389221191406
vi-forest,0.8,0.00024999999999999995,10,12,5.451941568750818,54.51941568750818,0.9389204204150658,0.10782449978758724,0.1343262294618519,5,0.0005497932434082031
vi-forest,0.8,0.00024999999999999995,10,13,5.5277021493827485,55.27702149382748,0.7576058063193045,0.07763363984706184,0.10099151358222525,5,0.0005896091461181641
vi-forest,0.8,0.00024999999999999995,10,14,5.581323586302057,55.81323586302057,0.5362143691930896,0.05589622068988653,0.07458251967801743,5,0.0006296634674072266
vi-forest,0.8,0.00024999999999999995,10,15,5.624556113161643,56.24556113161643,0.43232526859585363,0.040245278896718695,0.05631224250102118,5,0.0006694793701171875
vi-forest,0.8,0.00024999999999999995,10,16,5.655520059548608,56.55520059548608,0.3096394638696509,0.028976600805637798,0.041830171689079876,5,0.0007092952728271484
vi-forest,0.8,0.00024999999999999995,10,17,5.680465076263014,56.80465076263013,0.24945016714405455,0.020863152580059552,0.03172554130292582,5,0.0007483959197998047
vi-forest,0.8,0.00024999999999999995,10,18,5.698543405902332,56.98543405902332,0.18078329639318724,0.015021469857642522,0.023711380835935714,5,0.0007884502410888672
vi-forest,0.8,0.00024999999999999995,10,19,5.713096198432934,57.13096198432934,0.14552792530601977,0.010815458297503522,0.0180678164772905,5,0.0008282661437988281
vi-forest,0.8,0.00024999999999999995,10,20,5.72376504121064,57.2376504121064,0.10668842777705834,0.007787129974202944,0.013589016518032793,5,0.0008680820465087891
vi-forest,0.8,0.00024999999999999995,10,21,5.732346838212649,57.32346838212649,0.08581797002009495,0.005606733581427381,0.010403985415975647,5,0.0009081363677978516
vi-forest,0.8,0.00024999999999999995,10,22,5.738707669791929,57.38707669791929,0.06360831579279846,0.004036848178627039,0.00787464964626583,5,0.0009484291076660156
vi-forest,0.8,0.00024999999999999995,10,23,5.743820556144425,57.43820556144425,0.05112886352495849,0.002906530688611575,0.006057508826295077,5,0.0009882450103759766
vi-forest,0.8,0.00024999999999999995,10,24,5.747649277464446,57.47649277464446,0.038287213200213444,0.0020927020958003695,0.004613484605947349,5,0.001028299331665039
vi-forest,0.8,0.00024999999999999995,10,25,5.750724810733038,57.50724810733038,0.030755332685920678,0.0015067455089781134,0.003565225559011509,5,0.0010712146759033203
vi-forest,0.8,0.00024999999999999995,10,26,5.753049630252105,57.530496302521044,0.02324819519066068,0.0010848567664645259,0.0027316408064912423,5,0.0011110305786132812
vi-forest,0.8,0.00024999999999999995,10,27,5.754915995007955,57.54915995007955,0.018663647558504692,0.0007810968718544586,0.0021202212392053,5,0.0011518001556396484
vi-forest,0.8,0.00024999999999999995,10,28,5.75633878809417,57.5633878809417,0.014227930862148241,0.000562389747734926,0.0016336892416157767,5,0.001191854476928711
vi-forest,0.8,0.00024999999999999995,10,29,5.757480396901626,57.574803969016266,0.01141608807456862,0.0004049206183691645,0.0012732080084285613,5,0.0012319087982177734
vi-forest,0.8,0.00024999999999999995,10,30,5.75835724109194,57.5835724109194,0.008768441903136193,0.0002915428452259228,0.000986172757273529,5,0.001271963119506836
vi-forest,0.8,0.00024999999999999995,10,31,5.759060465701261,57.59060465701261,0.007032246093210404,0.00020991084856314401,0.0007714456351051169,5,0.0013108253479003906
