,Iteration,Fitness,Time,State,current_restart,Restarts
0,0,5525.030464727642,0.0003195840000000949,"[28 11 10 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25  5 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",0,1
1,1,5337.02336093731,0.000876177000000089,"[28 11  5 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",0,1
2,2,5337.02336093731,0.0013368339999999534,"[28 11  5 41  2 27 38 31 22  4 33 35 26 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 37 24  6 23 36 21 19  9 39 46  3  0
 47 44]",0,1
3,4,5250.895256851522,0.001982362999999987,"[28 11  5 41  2 27 38 31 22  4 33 35 37 34 18  7 14 45 48 29 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 26 24  6 23 36 21 19  9 39 46  3  0
 47 44]",0,1
4,8,4763.263786596577,0.0029503760000000323,"[28 11  5 41  2 27 38 31 22  4 33 35 37 34 18  7 14 45 48 47 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 26 24  6 23 36 21 19  9 39 46  3  0
 29 44]",0,1
5,16,4715.806982587417,0.00489154600000008,"[28 27  5 41  2 11 38 31 22  4 33 35 37 34 18  7 14 45 48 47 15 30 32 16
 42 20 43  8 13 25 10 17 40 49  1 12 36 24  6 23 26 21 19  9 39 46  3  0
 29 44]",0,1
6,32,4555.239698084946,0.00870531200000002,"[28 27  5 41  2 11 38 31 33  4 22 35 29 34 18  7 14 45 48 47 15 30 32 16
 42 20 43  8 13 25 10 17 40 39  1 12 36 24  6 23 26 21 19  9 49 46  3  0
 37 44]",0,1
7,64,3577.559007017921,0.015957857999999936,"[20 49  5 28  2 11 46  9 33  4 22 35 29 34 16 21 14 45 48 47 15 30 32 18
 44 41 43  8 13  1 10 25 40 39 17 42 36 24  6 23 37  7 19 31 27 38  3  0
 26 12]",0,1
8,128,3343.3627123540405,0.027863680999999918,"[20 49  5 11  2 28 13  9 39  4 22 35 29 34 16 21  8 45 48 47 15 30 32 18
 44 41 42 10 46  1 14 25 40 33 17 43 36 24  6 23 37  7 19 31 27 38  3 26
  0 12]",0,1
9,256,3049.1836973915106,0.051976497000000066,"[20 49  5 11 46 28 13  9 14 44 22 35 29 34 16 21  8 45 48 47 15 30 32 18
  4 41 26 10 33  1  0 25 40 17 23 43 36 24  6  2 37  7 19 31 27 38  3 42
 39 12]",0,1
10,512,2725.172693247816,0.10354545799999992,"[20 49 27 11  9  1 30  6 14 44  4 35 29 34 16 21  8 42 48 47 15 33 32 18
 22  0 26 10 13 45 46 25 40 17 23 43 36 24 28  2 37  7 19 31  5 38  3 41
 39 12]",0,1
11,1024,2453.3887764884407,0.23007692000000013,"[20 12 27 11  9  1  0 33 22 44  4 36 29 34 16  7  8 15 47 48 42  6 32 18
 41 21 14 10 45 13 46 25 40 43 23 17 35 24 28  2 37 30 26  3 38 19 31  5
 39 49]",0,1
12,2048,2312.941234183082,0.548029246,"[20 39 27 11 46  1  8 14 41 22 44 36 29 34 16  7 26 15 47 48 42  6 32 18
  4 21 33 10 45 13  9 25  0 43 23 17 28 24 35  2 30 37 40  5 38 19 31  3
 12 49]",0,1
13,4096,2250.019575856262,1.3928922479999999,"[49 39 27 11 46  1  0 14 41 22 44  4 29 34 16 36 25 15 47 48 42  6 32 18
  7 26 33 10 45 13  9  8 21 43 23 17 28 24 35  2 30 37 40  5  3 31 19 38
 12 20]",0,1
14,8192,2088.620273543181,3.8171971890000003,"[49 39 27  5 11 25 40 21 41 22 44  4 36 29 16 26  9 15 47 48 42  6 32 18
 34  7 33 10 45 13  8  0 14 43 23 17 28 24 35  2 30 37  1 46 19 31  3 38
 12 20]",0,1
